ra,dec,umag,eu,bmag,eb,vmag,ev,gmag,eg,rmag,er,imag,ei,zmag,ez,kmag,ek,zp_best,zl68_gal,zu68_gal,Origin,SpecRA,SpecDEC,z_spec,Q_f,SpecOrigin,Outlier,I_FWHMArea,Z_FWHMArea,R_FWHMArea,G_FWHMArea
149.41263,2.576894,22.8685,0.0239,22.3903,0.0206,21.9158,0.014,22.4677,0.0182,21.764,0.013,21.5847,0.012,21.2783,0.012,21.0209,0.2408,0.39,0.32,0.39,Cosmos2006,149.4126461,2.576880706,0.487699986,2.0,publicSpecZ,0,21,25.0,27.0,25.0
149.42032,2.8059,23.377,0.031,22.935,0.028,22.695,0.021,23.033,0.025,22.32,0.017,21.814,0.014,21.644,0.015,20.846,0.02,0.662,0.65,0.71,mag25lim,149.4203521,2.80587525,0.878700018,2.0,publicSpecZ,0,23,26.0,26.0,26.0
149.42215,2.568413,21.121,0.01,20.058,0.01,19.582,0.01,20.061,0.01,19.36,0.01,19.067,0.01,18.745,0.01,18.323,0.01,0.085,0.08,0.1,mag25lim,149.4221561,2.568430057,0.090678446,4.0,publicSpecZ,0,39,47.0,-1.0,47.0
149.42221999999995,2.709268,23.079,0.026,22.474,0.022,22.149,0.016,22.595,0.02,21.666,0.013,21.207,0.01,20.938,0.01,20.034,0.011,0.56,0.55,0.57,mag25lim,149.42221999999995,2.709268,0.5539999999999999,4.0,DEIMOS,0,34,35.0,45.0,35.0
149.4314,2.069464,25.366,0.093,25.087,0.086,24.566,0.059,25.19,0.083,24.25,0.047,23.338,0.031,22.692,0.03,21.29,0.024,0.953,0.94,0.97,mag25lim,149.431397,2.0694630000000003,0.959,4.0,DEIMOS,0,23,25.0,33.0,25.0
149.43306,2.00424,24.7312,0.0654,23.9574,0.0435,23.2726,0.0272,23.9344,0.0376,22.6451,0.0198,21.7397,0.0129,21.3023,0.0121,19.9653,0.0947,0.7,0.67,0.73,Cosmos2006,149.43306,2.004241,0.691,4.0,DEIMOS,0,20,23.0,33.0,23.0
149.43568,1.591925,23.8028,0.0417,23.4456,0.0341,23.435,0.0298,23.6591,0.0329,23.1661,0.0261,22.7194,0.0214,22.5052,0.0267,22.0701,0.4559,0.7,0.67,0.72,Cosmos2006,149.435698,1.5919036290000002,0.739400029,4.0,publicSpecZ,0,18,23.0,31.0,23.0
149.43962,2.709018,23.379,0.032,22.56900000000001,0.023,21.857,0.014,22.5,0.019,21.705,0.013,21.373,0.011,21.163,0.011,20.618,0.018000000000000002,0.228,0.22,0.24,mag25lim,149.43966,2.708956,0.249,4.0,DEIMOS,0,22,25.0,37.0,25.0
149.43998,2.101229,19.8276,0.0053,18.5877,0.0035,18.0761,0.0023,18.6101,0.003,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,17.47,0.0083,0.0,1.0,2.68,Cosmos2006,149.43999340000005,2.101212037,3.94e-05,4.0,publicSpecZ,0,20,21.0,18.0,21.0
149.44027,2.428435,24.2,0.048,22.962,0.028,21.968000000000004,0.015,22.843000000000004,0.023,21.096,0.01,20.35,0.01,19.912,0.01,18.738,0.01,0.474,0.46,0.48,mag25lim,149.44029630000003,2.428422462,0.486083716,4.0,publicSpecZ,0,36,44.0,71.0,44.0
149.44148,2.287564,24.958,0.07,23.336,0.034,22.208,0.017,23.199,0.027000000000000003,21.383000000000006,0.011,20.6,0.01,20.074,0.01,18.85,0.01,0.502,0.49,0.51,mag25lim,149.441499,2.287563851,0.475640118,4.0,publicSpecZ,0,17,23.0,31.0,23.0
149.44194,2.004557,22.562,0.02,21.901,0.017,21.119,0.01,21.846,0.014,20.792,0.01,20.363,0.01,20.009,0.01,19.062,0.01,0.33,0.32,0.34,mag25lim,149.44194,2.004557,0.329,4.0,DEIMOS,0,54,57.0,83.0,57.0
149.44208999999995,2.043975,28.076,0.804,26.417,0.202,25.62,0.125,26.94,0.292,25.424,0.097,25.15,0.111,24.739,0.166,22.057,0.049,2.119,1.85,2.21,mag25lim,149.442093,2.043952,1.705,1.0,DEIMOS,0,9,10.0,11.0,10.0
149.44386,2.855554,20.536,0.01,19.503,0.01,18.986,0.01,19.495,0.01,18.857,0.01,18.459,0.01,18.057,0.01,17.479,0.01,0.085,0.07,0.09,mag25lim,149.44388030000005,2.855517317,0.091684394,4.0,publicSpecZ,0,69,80.0,97.0,92.0
149.44421,1.84485,24.1309,0.0487,23.5036,0.0348,22.9493,0.0232,23.5167,0.0305,22.7411,0.0208,22.4813,0.0188,22.1849,0.0206,22.3921,0.8418,0.38,0.29,0.39,Cosmos2006,149.4442365,1.844840389,0.629400015,4.0,publicSpecZ,0,17,21.0,26.0,21.0
149.44711,2.315288,23.2764,0.0274,22.5641,0.0222,22.0475,0.0148,22.6494,0.0198,21.4408,0.0112,20.9082,0.0086,20.4936,0.0076,19.5331,0.0516,0.51,1.65,2.25,Cosmos2006,149.447098,2.315286,0.524,4.0,DEIMOS,0,13,20.0,25.0,20.0
149.44718999999995,1.751322,23.4134,0.031,23.1154,0.0288,23.0873,0.0248,23.3408,0.0279,22.7593,0.021,22.3877,0.0178,22.3522,0.0227,22.5493,0.655,0.69,0.58,0.69,Cosmos2006,149.44720680000003,1.751306849,0.595700026,4.0,publicSpecZ,0,13,13.0,18.0,13.0
149.44795,2.010338,21.216,0.011,19.897,0.01,19.162,0.01,19.795,0.01,18.906,0.01,18.476,0.01,18.111,0.01,17.095,0.01,0.112,0.1,0.12,mag25lim,149.4479781,2.010306412,0.129999995,4.0,publicSpecZ,0,55,53.0,55.0,53.0
149.44814,2.07114,20.8155,0.0084,20.1612,0.0073,19.6417,0.0048,20.1576,0.0061,19.54,0.0046,19.3348,0.0041,19.0194,0.0037,18.454,0.0198,0.25,1.48,1.78,Cosmos2006,149.448105,2.07113,0.252,4.0,DEIMOS,0,53,67.0,96.0,67.0
149.44843999999995,2.7205790000000003,23.009,0.025,22.776,0.026,22.688,0.021,23.029,0.025,22.592,0.02,22.32,0.018000000000000002,22.563,0.027000000000000003,22.143,0.062,0.16,0.15,0.17,mag25lim,149.4484468,2.720584155,0.283699989,4.0,publicSpecZ,0,11,13.0,18.0,13.0
149.45199,2.100442,25.034,0.07200000000000001,24.638,0.065,24.36,0.051,24.856,0.068,24.121,0.043,23.603,0.035,23.097,0.038,22.226,0.049,1.079,1.07,1.09,mag25lim,149.451996,2.100441,1.1805,4.0,DEIMOS,0,43,46.0,22.0,46.0
149.45658,1.993015,23.469,0.031,22.935,0.028,22.574,0.02,23.042,0.025,22.018,0.015,21.292,0.011,20.934,0.01,19.806,0.01,0.657,0.65,0.67,mag25lim,149.45658,1.993015,0.6459999999999999,4.0,DEIMOS,0,45,51.0,82.0,51.0
149.45787,2.888793,27.97300000000001,0.8220000000000001,25.59,0.119,24.438,0.054000000000000006,25.298,0.094,23.769,0.036000000000000004,22.541,0.02,21.947,0.018000000000000002,21.604,0.04,0.0,0.78,0.8,mag25lim,149.4578893,2.888759029,2.852900028,2.0,publicSpecZ,1,10,12.0,13.0,12.0
149.458,2.655048,22.872,0.024,22.045,0.018000000000000002,21.275,0.011,21.964,0.015,21.052,0.01,20.675,0.01,20.416,0.01,19.693,0.01,0.251,0.24,0.26,mag25lim,149.4580224,2.655030464,0.2502,2.0,publicSpecZ,0,42,55.0,69.0,55.0
149.45815,1.876989,24.3763,0.0553,24.0266,0.045,23.9634,0.0394,24.2824,0.0459,23.7005,0.0338,22.9833,0.0246,22.5501,0.0266,21.7399,0.4158,0.92,0.83,0.99,Cosmos2006,149.45814740000003,1.876981442,0.8991,9.0,publicSpecZ,0,29,33.0,37.0,33.0
